Station_Name,Shinkansen_Line,Year,Prefecture,Distance_from_Tokyo_st,Company,Latitude,Longitude
Tokyo,Tokaido_Shinkansen,1964,Tokyo,0.0,JR_Central,35.6761919,139.6503106
Shinagawa,Tokaido_Shinkansen,2003,Tokyo,6.8,JR_Central,35.6091973,139.7303364
Shin-Yokohama,Tokaido_Shinkansen,1964,Kanagawa,28.8,JR_Central,35.5073994,139.6171658
Odawara,Tokaido_Shinkansen,1964,Kanagawa,83.9,JR_Central,35.2648307,139.1523086
Atami,Tokaido_Shinkansen,1964,Shizuoka,104.6,JR_Central,35.0963896,139.071784
Mishima,Tokaido_Shinkansen,1969,Shizuoka,120.7,JR_Central,35.1184912,138.9184977
Shin-Fuji,Tokaido_Shinkansen,1988,Shizuoka,146.2,JR_Central,35.141965,138.663603
Shizuoka,Tokaido_Shinkansen,1964,Shizuoka,180.2,JR_Central,34.9755668,138.3826773
Kakegawa,Tokaido_Shinkansen,1988,Shizuoka,229.3,JR_Central,34.768823,137.9984128
Hamamatsu,Tokaido_Shinkansen,1964,Shizuoka,257.1,JR_Central,34.7102752,137.7274159
Toyohashi,Tokaido_Shinkansen,1964,Aichi,293.6,JR_Central,34.7688528,137.3916837
Mikawa-Anjo,Tokaido_Shinkansen,1988,Aichi,336.3,JR_Central,34.97002800000001,137.061997
Nagoya,Tokaido_Shinkansen,1964,Aichi,336.0,JR_Central,35.18145060000001,136.9065571
Gifu-Hashima,Tokaido_Shinkansen,1964,Gifu,396.3,JR_Central,35.3199066,136.7033655
Maibara,Tokaido_Shinkansen,1964,Shiga,445.9,JR_Central,35.3154598,136.2839538
Kyoto,Tokaido_Shinkansen,1964,Kyoto,513.6,JR_Central,35.011564,135.7681489
Shin-Osaka,"Tokaido_Shinkansen,Sanyo_Shinkansen",1964,Osaka,552.6,JR_Central,34.7334658,135.5002547
Shin-Kobe,Sanyo_Shinkansen,1972,Hyogo,589.5,JR_West,34.7062884,135.1954675
Nishi-Akashi,Sanyo_Shinkansen,1972,Hyogo,612.3,JR_West,34.703191,134.89615
Himeji,Sanyo_Shinkansen,1972,Hyogo,644.3,JR_West,34.8154176,134.6855509
Aioi,Sanyo_Shinkansen,1972,Hyogo,665.0,JR_West,34.803968,134.4683474
Okayama,Sanyo_Shinkansen,1972,Okayama,732.9,JR_West,34.6555312,133.919795
Shin-Kurashiki,Sanyo_Shinkansen,1975,Okayama,758.1,JR_West,34.5992856,133.7687388
Fukuyama,Sanyo_Shinkansen,1975,Hiroshima,791.2,JR_West,34.4859845,133.3624239
Shin-Onomichi,Sanyo_Shinkansen,1988,Hiroshima,811.3,JR_West,34.430112,133.1903
Mihara,Sanyo_Shinkansen,1975,Hiroshima,822.8,JR_West,34.3974307,133.0787608
Higashi-Hiroshima,Sanyo_Shinkansen,1988,Hiroshima,862.4,JR_West,34.4267058,132.5019101
Hiroshima,Sanyo_Shinkansen,1975,Hiroshima,894.2,JR_West,34.3852894,132.4553055
Shin-Iwakuni,Sanyo_Shinkansen,1975,Yamaguchi,935.6,JR_West,34.1646553,132.149373
